İngilizce terim adı;Türkçe terim adı;Kategori ;Terim açıklama
Arabica;Arabika;2;Arabika, Oğlak ve Yengeç dönenceleri arasında yetişen, kökeni Etiyopya ve Güney Sudan’a dayanan bir kahve türüdür.Arabika kahvesi dünya kahve üretiminin %70'ini oluşturur. ancak hastalıklara ve iklim koşullarına çok dirençli olmadığından yetiştirilmesi daha zordur ve daha pahalıdır.
Artisan coffee;Sanatçı Kahvesi;1;Yetenekli kişiler tarafından kahve üretilen yerlerdir.Kavurucuları yüksek kaliteli arabika kahve ve modern ekipmanlar kullanır. 
Arusha;Arusha;2;Tanzanya bölgesinin en kaliteli arabika çekirdeklerine verilen isimdir. Meru ve kilimanjaro dağlarının yüksek noktalarında yetişir.
Ashy;Küllü;9;Kül ve köz kokusuna benzeyen kahve kokusudur.Bu koku kahvenin koyu kavrulmuş olduğunu gösterir ve az miktarlarda kahveniz kötü olmayabilir ama hiç bir zaman pozitif bir kalite olarak anılmamıştır. Küllü tat veya koku kavurma sorunlarının habercisi olabilir.  Temiz olmayan havalandırılmamış bir tambur buna sebep olabilir. Aynı kavurma koşullarında alçak yüksekliklerde yetişen kahveler küllü tadı yükseklerde yetişen kahvelere göre daha çabuk verirler.
Astringent;Büzücü Tat;9;Kuru , ekşi tuzlu ve genellikle nahoş bir tad olarak geri planda kendini gösterir.
Baggy;Çuval Tadı;9;Bu tat çuvalın içinde uzun süre bekleyen kahvelerin karakteristik tadıdır.Ayrıca az kavrulmuş küllü kahveleride tanımlayan bir tatdır.
Baked;Pişmiş ;9;Düz, donuk, ve ilgi çekmeyen kahve tadıdır.Davul kavurucularda yavaş kavrulmuş kahvelerde görülür. Tadı tatdaki kahvelerden yanık tadı da alınabilir.
Balance;Dengeli;9;Tek bir karakteristik tadla boğulmayan, ilginç kılıcak değişik tadları dengeli bir şekilde sergileyen tatdır.
Bani;Bani;2;Bani Dominik Cumhuriyeti'nin Siera bölgesinde yetişen kahvedir. Bu kahvenin market ismi City of Bani'dir.
Bar;Bar;8;Espresso makineleri 9-10 bar'lık bir sıcak hava basıncını kahveye uygulayarak çalışır. Bar bir basınç birimidir ve bir bar 145 PSI dir.
Barahona;Barahona;2;Dominik Cumriyeti'nin kuzeyininde bulunan kahvelerin market ismidir. Dominik Cumhuriyeti'nin en iyi kahvesidir.
Barista;Barista;1;İtalyanca kökenli bu kelime aslında içecek hazırlayan kişi anlamına gelse de ikinci dalga kahvecilerin çıkmasından itibaren tüm dinyada profesyonel şekilde kahve hazırlayan kişilere verilen bir isim halini almıştır.
Bitter;Acı;9;Acılık tadı arka planda gelen bir tatdır ve koyu kavrulmuş kahvelerin neredeyse tamamında bulunur.
Bits;Parçalanmış;4;İşlem sırasında parçalanmış kahve çekirdeklerine verilen isimdir.
Black Bean;Siyah Çekirdek;4;Kavrulmamış halde iken bile siyah renkde olan çekirdeklerdir. Bu çekirdekler olgunlasmamış veya çürümüş kahve kirazlarında bulunur.
Blend;Harman;4;İki veya daha fazla kahve çekirdeğinin harmanlanarak kullanılmasıdır. bu çekirdekler kavrulmadan önce karıştırılabiliceği gibi kavurmadan sonrada karıştırılabilir. bu işlem kahveye daha dengeli bir tat sunmaya yönelik asitide , gövde arttırmaya ya da azalmaya yarar.
Blotchy;Lekeli ;4;Düzensiz yeşilimsi, sarımsı veya beyazımsı renkler içeren kavrulmamış kahvedir. Bu çekirdekler tamamlanmamış ya da yanlış uygulanmış kurutma prosesleri yüzünden olabilir.
Blue Mountain;Blue Mountain;2;Blue Mountain dünyanın en tartışmalı çekirdeğidir. Jamaikanın en iyi kahvesi olan bu çekirdek iyi bir asitide ve karakteristik bir fındıksı tada sahiptir.
Boat Shaped;Tekne Şekilli Çekirdek;4;Bu çekirdekler yukarı doğru eğimleriyle bir tekneye benzedikleri için bu ismi almışlardır.
Affogato;Affogato;6;"
Latte bardağında bir ölçü vanilyalı dondurma dökülmüş espresso kahvedir."
Yıllanmış Kahve;Yıllanmış Kahve;4;Ebadını büyütmek ve asiditesini azaltmak için kahvenin uzun yıllar depoda bekletilmesidir. Yaşlanmış kahve eski mahsulden veya olgun kahveden daha uzun süre dayanır.
Bourbon Santos;Bourbon Santos;2;Aynı zamanda Santos olarak da bilinir. Piyasada ismi yüksek kaliteli kahve olarak bilinir. Genellikle Santo limanında gemilerle ihraç edilir. Genellikle São Paulo eyaletinde yetiştirilir ya da Minas Gerais eyaletinin güney bölgesinde yetiştirilir. Bourbon Santos terimi zaman zaman herhangi bir yüksek kaliteli Santos kahvesini temsil etmek için kullanılır, fakat tam anlamıyla arabika’nın Bourbon çeşidinden gelen Santos kahvesini tanımlar. Bu kahve, Brezilya’da yetiştirilen diğer kahvelere nazaran daha asitli daha tatlı bir kahve üretimi için idealdir.
Buttery;Yağlı;9;Tam, lezzetli ve yağlı bir taddır
Briny;Tuzlu;9;Çok kavrulmuş kahve ile özleşleşmiş tuzlu bir taddır.
Cafe au lait;Cafe au lait;6;Fransız üsulü sütlü filtre kahvedir
Cafe Latte;Latte;6;Bir shot espresso üzerine sıcak süt ve 1 cm'lik süt köpüğüyle hazırlanan kahvedir.
Caffee terreir;Caffee terreir;2;Hindistan cevizi ile yıkanıp kurutulan kahve çekirdeklerine verilen addır.
Cava;Java;2;Rengi sarı ile kahverengi arasında değişen iri taneli güçlü kahvedir.
Cappucino;Cappucino;6;Bir shot espreso üzerine aynı ölçüde sıcak süt ve süt köüğü koyularak hazırlanan ismini Cappucin rahiplerinden alan orta sertlikde bir kahvedir.
Bukaramanga;Bukaramanga;2;Kolombiya’daki bir kasaba ismiyle aynıdır. Bu kahve yumuşak kahve tohumundan üretilir. Sumatran kahvesi ile aynı özelliklere sahip olup, ağır gövde, düşük asitliği ve zengin tat tonları vardır.
Bogota;Bogota;2;Kolombiya'nın başkentinin etrafındaki yerleri kapsayan pazar adıdır.
Supremo;Supremo;2;Kolombiya'nın en iyi kahvelerine verilen isimdir.
Extra;Ekstra;2;Kolombiya'nın ikinci iyi kahvelerine verilen isimdir.
Exelso;Exelso;2;Kolombiya'nın en iyi birinci ve ikinci kahvelerinin karışımına verilen addır.
