İngilizce terim adı;Türkçe terim adı;Kategori ;Terim açıklama
Arabian mocha;Arabistan mokası;Çekirdek Çeşidi;Ünlü Arap kahvelerinin market ismidir. Mattari ve Sanani  çekirdeklerini kapsar. Sanani orta gövdeli  ve meyve tadındaki asitideli bir kahve iken Mattari ise bütün gövdeli iyi asitideli çikolata ve alt notalarını barındıran çekirdektir.Çikolatalı bir kahve olan moka nın bu adı alması avrupa ilt çikolatayı ürettiğinde tadının bu çekirdekleri andırmasındandır.
Arabica;Arabika;Çekirdek Çeşidi;Arabika, Oğlak ve Yengeç dönenceleri arasında yetişen, kökeni Etiyopya ve Güney Sudan’a dayanan bir kahve türüdür.Arabika kahvesi dünya kahve üretiminin %70'ini oluşturur. ancak hastalıklara ve iklim koşullarına çok dirençli olmadığından yetiştirilmesi daha zordur ve daha pahalıdır.
Artisan coffee;Sanatçı Kahvesi;Cafe Terimi;Yetenekli kişiler tarafından kahve üretilen yerlerdir.Kavurucuları yüksek kaliteli arabika kahve ve modern ekipmanlar kullanır. 
Arusha;Arusha;Çekirdek Çeşidi;Tanzanya bölgesinin en kaliteli arabika çekirdeklerine verilen isimdir. Meru ve kilimanjaro dağlarının yüksek noktalarında yetişir.
Ashy;Küllü;Tadım Terimi;Kül ve köz kokusuna benzeyen kahve kokusudur.Bu koku kahvenin koyu kavrulmuş olduğunu gösterir ve az miktarlarda kahveniz kötü olmayabilir ama hiç bir zaman pozitif bir kalite olarak anılmamıştır. Küllü tat veya koku kavurma sorunlarının habercisi olabilir.  Temiz olmayan havalandırılmamış bir tambur buna sebep olabilir. Aynı kavurma koşullarında alçak yüksekliklerde yetişen kahveler küllü tadı yükseklerde yetişen kahvelere göre daha çabuk verirler.
Astringent;Büzücü Tat;Tadım Terimi;Kuru , ekşi tuzlu ve genellikle nahoş bir tad olarak geri planda kendini gösterir.
Baggy;Çuval Tadı;Tadım Terimi;Bu tat çuvalın içinde uzun süre bekleyen kahvelerin karakteristik tadıdır.Ayrıca az kavrulmuş küllü kahveleride tanımlayan bir tatdır.
Baked;Pişmiş ;Tadım Terimi;Düz, donuk, ve ilgi çekmeyen kahve tadıdır.Davul kavurucularda yavaş kavrulmuş kahvelerde görülür. Tadı tatdaki kahvelerden yanık tadı da alınabilir.
Balance;Dengeli;Tadım Terimi;Tek bir karakteristik tadla boğulmayan, ilginç kılıcak değişik tadları dengeli bir şekilde sergileyen tatdır.
Bani;Bani;Çekirdek Çeşidi;Bani Dominik Cumhuriyeti'nin Siera bölgesinde yetişen kahvedir. Bu kahvenin market ismi City of Bani'dir.
Bar;Bar;Makine Terimi;Espresso makineleri 9-10 bar'lık bir sıcak hava basıncını kahveye uygulayarak çalışır. Bar bir basınç birimidir ve bir bar 145 PSI dir.
Barahona;Barahona;Çekirdek Çeşidi;Dominik Cumriyeti'nin kuzeyininde bulunan kahvelerin market ismidir. Dominik Cumhuriyeti'nin en iyi kahvesidir.
Barista;Barista;Cafe Terimi;İtalyanca kökenli bu kelime aslında içecek hazırlayan kişi anlamına gelse de ikinci dalga kahvecilerin çıkmasından itibaren tüm dinyada profesyonel şekilde kahve hazırlayan kişilere verilen bir isim halini almıştır.
Bitter;Acı;Tadım Terimi;Acılık tadı arka planda gelen bir tatdır ve koyu kavrulmuş kahvelerin neredeyse tamamında bulunur.
Bits;Parçalanmış;Çekirdek Terimi;İşlem sırasında parçalanmış kahve çekirdeklerine verilen isimdir.
Black Bean;Siyah Çekirdek;Çekirdek Terimi;Kavrulmamış halde iken bile siyah renkde olan çekirdeklerdir. Bu çekirdekler olgunlasmamış veya çürümüş kahve kirazlarında bulunur.
Blend;Harman;Çekirdek Terimi;İki veya daha fazla kahve çekirdeğinin harmanlanarak kullanılmasıdır. bu çekirdekler kavrulmadan önce karıştırılabiliceği gibi kavurmadan sonrada karıştırılabilir. bu işlem kahveye daha dengeli bir tat sunmaya yönelik asitide , gövde arttırmaya ya da azalmaya yarar.
Blotchy;Lekeli ;Çekirdek Terimi;Düzensiz yeşilimsi, sarımsı veya beyazımsı renkler içeren kavrulmamış kahvedir. Bu çekirdekler tamamlanmamış ya da yanlış uygulanmış kurutma prosesleri yüzünden olabilir.
Blue Mountain;Blue Mountain;Çekirdek Çeşidi;Blue Mountain dünyanın en tartışmalı çekirdeğidir. Jamaikanın en iyi kahvesi olan bu çekirdek iyi bir asitide ve karakteristik bir fındıksı tada sahiptir.
Boat Shaped;Tekne Şekilli Çekirdek;Çekirdek Terimi;Bu çekirdekler yukarı doğru eğimleriyle bir tekneye benzedikleri için bu ismi almışlardır.
